PWN,ILI,POS,Tree File,Gap,DeepL Direct,DeepL Contextualized,Translated Wordnet,Lemmas,Translated Wordnet Gloss,Gloss,Hypernyms,Hyponyms
omw-en31-00307252-n,i37014,n,omw-en31-00296527-n,journey,подорож,подорож,подорож,"journey, journeying",акт подорожі з одного місця в інше,the act of traveling from one place to another,"travel, traveling, travelling","commute; drive, ride; long haul; mush; odyssey; trip; passage, transit; expedition; digression, excursion; schlep, shlep; trek; tour, circuit; pilgrimage, pilgrim's journey; excursion, jaunt, outing, junket, pleasure trip, expedition, sashay; voyage; way"
omw-en31-00310473-n,i37033,n,omw-en31-00296527-n,expedition,експедиція,Експедиція,Експедиція,expedition,"подорож, організована з певною метою",a journey organized for a particular purpose,"journey, journeying","scouting trip; campaign, hunting expedition, safari; exploration, geographic expedition"
omw-en31-06821351-n,i72271,n,omw-en31-06371284-n,notation,позначення,нотація,"позначення, система позначень, система нотації","notation, notational system","технічна система символів, що використовується для представлення особливих речей",a technical system of symbols used to represent special things,writing,mathematical notation; musical notation; choreography; chemical notation
omw-en31-06827728-n,i72307,n,omw-en31-06371284-n,musical notation,нотна грамота,нотна грамота,"нотний запис, музична нотація",musical notation,"(музика) нотація, що використовується музикантами",(music) notation used by musicians,"notation, notational system","bar line; tablature; scale, musical scale; interval, musical interval; staff, stave; clef; key signature, signature; key, tonality; atonality, atonalism; time signature, musical time signature; measure, bar; rest; note, musical note, tone; slur; sharp; flat; natural, cancel; accidental; fermata; solmization, solmisation; segno; sforzando"
omw-en31-06869618-n,i72506,n,omw-en31-06371284-n,scale,масштаб,гама,"масштаб, шкала, гама, музична гама, музична шкала","scale, musical scale","(музика) серія нот, що відрізняються за кроком за певною схемою (як правило, в межах октави)",(music) a series of notes differing in pitch according to a specific scheme (usually within an octave),musical notation,gamut; diatonic scale; chromatic scale; gapped scale
omw-en31-06873373-n,i72531,n,omw-en31-06371284-n,diatonic scale,діатонічна гама,діатонічний лад,"діатонічна гамма, діатонічна шкала",diatonic scale,гамма з восьми нот в октаві,a scale with eight notes in an octave; all but two are separated by whole tones,"scale, musical scale","mode, musical mode"
omw-en31-06874680-n,i72539,n,omw-en31-06371284-n,mode,режим,лад,"режим, музичний лад, музичний режим","mode, musical mode",будь-який з різних фіксованих порядків різних діатонічних нот в межах октави,any of various fixed orders of the various diatonic notes within an octave,diatonic scale,"ecclesiastical mode, Gregorian mode, church mode, medieval mode; Greek mode; major scale, major diatonic scale; minor scale, minor diatonic scale"
omw-en31-01563277-n,i43469,n,omw-en31-01559826-n,Old World chat,Чат Старого Світу,Старосвітська балаканина,"чат, Чат Старого Світу, Старосвітський чат, чат зі Старого світу","Old World chat, chat","співочі птахи, які мають балакучий дзвінок",songbirds having a chattering call,thrush,"stonechat, Saxicola torquata; whinchat, Saxicola rubetra"
omw-en31-13159435-n,i105690,n,omw-en31-13159085-n,drupelet,кістянка,кістянка,"костянка, друплет",drupelet,"невелика частина агрегатного плоду, що нагадує драпіровку",a small part of an aggregate fruit that resembles a drupe,"drupe, stone fruit",blackberry; raspberry; acinus
omw-en31-02537365-n,i49007,n,omw-en31-02537190-n,salmon,лосось,лосось,Лосось,salmon,будь-яка з різних великих кормових і дичинних риб північних вод,any of various large food and game fishes of northern waters; usually migrate from salt to fresh water to spawn,salmonid; food fish,"blackfish; redfish; Atlantic salmon, Salmo salar; sockeye, sockeye salmon, red salmon, blueback salmon, Oncorhynchus nerka; chinook, chinook salmon, king salmon, quinnat salmon, Oncorhynchus tshawytscha; chum salmon, chum, Oncorhynchus keta; coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch"
omw-en31-09332198-n,i85558,n,omw-en31-09310874-n,ice mass,крижана маса,льодова маса,Крижана маса,ice mass,велика маса льоду,a large mass of ice,"geological formation, formation","glacier; iceberg, berg; icecap, ice cap; ice field; ice floe, floe"
omw-en31-07870789-n,i78462,n,omw-en31-07859751-n,Swiss cheese,Швейцарський сир,Швейцарський сир,Швейцарський сир,Swiss cheese,жорсткий блідо-жовтий сир з безліччю отворів зі Швейцарії,hard pale yellow cheese with many holes from Switzerland,cheese,"Emmenthal, Emmental, Emmenthaler, Emmentaler; Gruyere; sapsago"
omw-en31-12162602-n,i100958,n,omw-en31-12162012-n,wheat,пшениця,пшениця,пшениця,wheat,однорічна або дворічна трава з прямостоячими квітковими колосами і світло-коричневими зернами,annual or biennial grass having erect flower spikes and light brown grains,"cereal, cereal grass","durum, durum wheat, hard wheat, Triticum durum, Triticum turgidum, macaroni wheat; soft wheat; common wheat, Triticum aestivum; spelt, Triticum spelta, Triticum aestivum spelta; emmer, starch wheat, two-grain spelt, Triticum dicoccum; wild wheat, wild emmer, Triticum dicoccum dicoccoides"
omw-en31-01357967-n,i42445,n,omw-en31-01328932-n,eubacteria,еубактерії,еубактерії,еубактерія,"eubacteria, eubacterium, true bacteria","велика група бактерій, що мають жорсткі клітинні стінки",a large group of bacteria having rigid cell walls; motile types have flagella,"bacteria, bacterium; moneran, moneron","bacillus, B; coccus, cocci; coccobacillus; spirillum, spirilla; clostridium, clostridia; botulinus, botulinum, Clostridium botulinum; clostridium perfringens; cyanobacteria, blue-green algae; phototrophic bacteria, phototropic bacteria; pseudomonad; xanthomonad; nitric bacteria, nitrobacteria; nitrosobacteria, nitrous bacteria; thiobacillus; spirillum; vibrio, vibrion; corynebacterium; listeria; enteric bacteria, enterobacteria, enterics, entric; endospore-forming bacteria; rickettsia; chlamydia; mycoplasma; actinomycete; actinomyces; mycobacteria, mycobacterium; myxobacteria, myxobacterium, myxobacter, gliding bacteria, slime bacteria; lactobacillus; streptococcus, streptococci, strep; spirochete, spirochaete"
omw-en31-01370413-n,i42507,n,omw-en31-01328932-n,enteric bacteria,кишкові бактерії,кишкові бактерії,ентеробактерії,"enteric bacteria, enterobacteria, enterics, entric",паличкоподібні грамнегативні бактерії,rod-shaped Gram-negative bacteria; most occur normally or pathogenically in intestines of humans and other animals,"eubacteria, eubacterium, true bacteria",escherichia; klebsiella; salmonella; shigella; erwinia
omw-en31-01092370-n,i41123,n,omw-en31-01108713-n,commerce,торгівля,комерція,"торгівля, меркантилізм, комерціалізм, комерція","commerce, commercialism, mercantilism",операції (купівля -продаж) з метою постачання товарів (товарів та послуг),transactions (sales and purchases) having the objective of supplying commodities (goods and services),"transaction, dealing, dealings","trading; trade; e-commerce; exchange, interchange; initial public offering, IPO, initial offering; commercial enterprise, business enterprise, business; carriage trade; importing, importation; exporting, exportation; marketing; distribution; selling, merchandising, marketing; traffic; payment, defrayal, defrayment; evasion, nonpayment"
omw-en31-01096649-n,i41138,n,omw-en31-01108713-n,commercial enterprise,комерційне підприємство,комерційне підприємство,бізнес,"commercial enterprise, business enterprise, business","діяльність з надання товарів та послуг, що стосуються фінансових, комерційних та промислових аспектів",the activity of providing goods and services involving financial and commercial and industrial aspects,"commerce, commercialism, mercantilism","tourism, touristry; fishing; butchery, butchering; storage; industry, manufacture; field, field of operation, line of business; employee-owned enterprise, employee-owned business; finance; discount business; real-estate business; advertising, publicizing; publication, publishing; printing; packaging; agribusiness, agriculture, factory farm; construction, building; transportation, shipping, transport; venture"
omw-en31-00915536-n,i40209,n,omw-en31-01108713-n,production,виробництво,виробництво,виробництво,production,(економіка) виробництво або видобуток або вирощування чогось (зазвичай у великих кількостях) для продажу,(economics) manufacturing or mining or growing something (usually in large quantities) for sale,"industry, manufacture","mass production; overproduction, overrun; underproduction; output, yield; capacity; breeding; brewing; cultivation; cultivation; generation; mining, excavation; quarrying; boring, drilling, oil production; sericulture"
